Player,1stServe%,1st_Serve%_Points_Won,2nd_Serve%_Points_Won,Service%_Games_Won,Avg_Aces/Match,Avg_Double_Faults/Match,Age,Height,Gender
 Kirsten Flipkens,63.9,63.8,46.1,67.4,2.8,1.9,33.0,165.0,Female
 Caroline Wozniacki,64.9,63.9,50.0,72.2,2.6,1.3,28.0,177.0,Female
 Magdalena Rybarikova,57.7,64.6,46.6,67.0,3.9,2.7,30.0,180.0,Female
 Yafan Wang,60.5,64.4,48.8,66.1,1.8,3.0,24.0,170.0,Female
 Lesia Tsurenko,70.0,61.4,46.1,63.8,2.4,3.2,29.0,174.0,Female
 Jelena Ostapenko,56.1,62.3,40.4,55.6,2.3,7.2,21.0,177.0,Female
 Polona Hercog,58.2,63.2,46.4,60.5,3.0,3.9,28.0,185.0,Female
 Yulia Putintseva,70.3,59.3,47.1,64.1,2.4,1.9,24.0,163.0,Female
 Anastasija Sevastova,59.0,63.1,49.5,66.7,2.1,2.0,29.0,169.0,Female
 Stefanie Voegele,56.8,65.2,44.5,63.6,2.5,2.1,29.0,170.0,Female
 Angelique Kerber,63.1,65.4,49.2,70.4,1.4,3.3,31.0,173.0,Female
 Kristina Mladenovic,57.4,62.9,40.4,56.9,2.7,4.4,25.0,184.0,Female
 Monica Puig,64.2,62.9,45.6,66.7,2.3,2.9,25.0,170.0,Female
 Amanda Anisimova,64.7,64.4,47.8,71.2,1.7,4.3,17.0,180.0,Female
 Vera Lapko,55.9,64.5,44.2,61.5,3.4,3.3,20.0,184.0,Female
 Marketa Vondrousova,59.6,66.5,48.2,69.7,1.8,3.8,19.0,172.0,Female
 Pauline Parmentier,59.9,64.0,43.0,62.7,1.9,2.7,33.0,175.0,Female
 Katerina Siniakova,56.7,67.2,47.5,68.4,2.9,2.9,22.0,174.0,Female
 Katie Boulter,58.0,72.0,44.7,74.5,5.8,4.8,22.0,182.0,Female
 Sorana Cirstea,60.1,62.7,47.4,67.3,3.1,2.1,29.0,176.0,Female
 Petra Martic,65.3,64.6,49.5,71.3,2.2,2.8,28.0,181.0,Female
 Magda Linette,62.6,60.6,48.3,63.7,2.1,2.1,27.0,171.0,Female
 Anastasia Potapova,51.0,67.1,45.3,65.0,3.9,6.7,18.0,175.0,Female
 Priscilla Hon,56.6,66.1,40.0,58.0,4.2,4.2,20.0,NA,Female
 Qiang Wang,59.1,66.5,49.1,70.9,2.4,1.8,27.0,172.0,Female
 Venus Williams,62.0,63.5,43.2,65.3,1.5,3.0,38.0,185.0,Female
 Irina-camelia Begu,62.2,60.1,48.2,63.8,1.8,4.5,28.0,181.0,Female
 Mihaela Buzarnescu,56.9,60.0,40.7,55.2,1.8,5.8,30.0,175.0,Female
 Maria Sharapova,64.6,66.8,49.1,75.7,2.8,4.8,31.0,188.0,Female
 Alison Riske,66.0,62.4,46.0,68.6,1.5,3.5,28.0,175.0,Female
 Sabine Lisicki,51.6,71.4,42.4,66.7,7.3,4.3,29.0,178.0,Female
 Ivana Jorovic,61.9,59.4,43.1,55.2,3.7,6.7,21.0,174.0,Female
 Saisai Zheng,59.3,58.1,45.4,55.9,1.8,3.4,25.0,170.0,Female
 Timea Bacsinszky,64.0,63.3,45.7,63.7,2.1,2.1,29.0,170.0,Female
 Camila Giorgi,59.7,66.3,48.9,73.2,2.9,4.4,27.0,168.0,Female
 Anna Karolina Schmiedlova,62.0,57.4,41.7,53.1,1.7,4.5,24.0,176.0,Female
 Karolina Muchova,68.0,64.3,45.7,70.4,2.5,1.6,22.0,NA,Female
 Taylor Townsend,65.9,62.1,51.6,66.3,2.5,2.1,23.0,170.0,Female
 Tamara Zidansek,69.1,61.0,43.1,64.3,1.5,2.5,21.0,168.0,Female
 Kateryna Kozlova,66.9,57.2,45.5,59.7,1.6,2.4,25.0,175.0,Female
